"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7260","Verifica login com sucesso","","Tue Feb 04 13:56:30 UTC 2025","passed","Tue Feb 04 13:56:37 UTC 2025","","Login válido","",""
"","6280","Verifica login com a senha inválida","","Tue Feb 04 13:55:57 UTC 2025","passed","Tue Feb 04 13:56:04 UTC 2025","","Login inválido","",""
"","3794","Verifica navegação para WebView, e se os elementos estão presentes.","","Tue Feb 04 13:56:59 UTC 2025","passed","Tue Feb 04 13:57:03 UTC 2025","","WebView","",""
"","4054","Valida o comportamento do botão que altera para ON e OFF  ","","Tue Feb 04 13:53:37 UTC 2025","passed","Tue Feb 04 13:53:41 UTC 2025","","forms","",""
"","3140","Verifica se os elementos estão visíveis na tela","","Tue Feb 04 13:55:03 UTC 2025","passed","Tue Feb 04 13:55:06 UTC 2025","","Home","",""
"","3173","Verifica o click no botão e a mensagem exposta  ","","Tue Feb 04 13:52:35 UTC 2025","passed","Tue Feb 04 13:52:38 UTC 2025","","forms","",""
"","11084","Verifica cadastro com dados válidos","","Tue Feb 04 13:52:00 UTC 2025","passed","Tue Feb 04 13:52:12 UTC 2025","","Cadastro","",""
"","9143","Verifica cadastro com senhas diferentes","","Tue Feb 04 13:51:27 UTC 2025","passed","Tue Feb 04 13:51:36 UTC 2025","","Cadastro","",""
"","6193","Verifica login com o email inválido","","Tue Feb 04 13:55:29 UTC 2025","passed","Tue Feb 04 13:55:35 UTC 2025","","Login inválido","",""
"","3981","Verifica o comportamento do input para digitar algo e valida o resultado  ","","Tue Feb 04 13:54:06 UTC 2025","passed","Tue Feb 04 13:54:10 UTC 2025","","forms","",""
"","6229","Valida se todas opções do campo de dropdown estão presentes, e se é possivel selecionar uma.","","Tue Feb 04 13:54:32 UTC 2025","passed","Tue Feb 04 13:54:38 UTC 2025","","forms","",""
"","2535","Verifica se o botão inactive existe e está visivel.","","Tue Feb 04 13:53:10 UTC 2025","passed","Tue Feb 04 13:53:12 UTC 2025","","forms","",""
